match_year,tournament,matches,avg_total_goals,avg_goal_margin,home_win_rate,away_win_rate,draw_rate,neutral_match_rate,fifa_feature_coverage,external_feature_coverage
1935,Balkan Cup,8,4.625,2.375,0.25,0.5,0.25,0.5,0.0,0.5
1935,Baltic Cup,3,3.0,0.333,0.0,0.333,0.667,0.333,0.0,0.667
1935,British Home Championship,6,3.0,1.333,0.667,0.167,0.167,0.0,0.0,1.0
1935,Central American and Caribbean Games,15,5.467,3.333,0.733,0.2,0.067,0.667,0.0,0.933
1935,Central European International Cup,8,3.75,1.25,0.5,0.125,0.375,0.0,0.0,0.5
1935,Copa América,6,3.0,2.0,0.333,0.667,0.0,0.5,0.0,0.667
1935,Friendly,65,3.892,2.015,0.554,0.262,0.185,0.0,0.0,0.738
1935,Muratti Vase,2,3.0,3.0,0.5,0.5,0.0,0.0,0.0,0.0
1935,Nordic Championship,6,3.833,2.167,0.5,0.333,0.167,0.0,0.0,1.0
1936,Balkan Cup,3,7.0,2.333,1.0,0.0,0.0,0.333,0.0,1.0
1936,Baltic Cup,3,3.0,1.0,1.0,0.0,0.0,0.333,0.0,1.0
1936,British Home Championship,7,3.429,1.143,0.429,0.429,0.143,0.0,0.0,1.0
1936,Central European International Cup,5,5.4,1.8,0.6,0.2,0.2,0.0,0.0,0.6
1936,Copa América,2,4.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0
1936,Friendly,53,4.434,1.717,0.415,0.396,0.189,0.0,0.0,0.736
1936,Muratti Vase,2,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
1936,Nordic Championship,6,4.167,1.5,0.333,0.5,0.167,0.0,0.0,1.0
1936,Soccer Ashes,3,7.667,6.333,0.0,1.0,0.0,0.0,0.0,1.0
1937,Baltic Cup,3,2.667,2.0,0.0,0.667,0.333,0.667,0.0,0.333
1937,British Home Championship,6,3.833,1.833,0.667,0.167,0.167,0.0,0.0,1.0
1937,Central European International Cup,10,4.7,1.9,0.6,0.3,0.1,0.0,0.0,0.6
1937,Copa América,14,4.357,1.929,0.643,0.286,0.071,0.643,0.0,0.786
1937,Copa Lipton,1,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
1937,Copa Newton,1,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
1937,FIFA World Cup qualification,14,4.429,2.571,0.643,0.214,0.143,0.071,0.0,0.714
1937,Friendly,63,4.317,2.0,0.429,0.349,0.222,0.032,0.0,0.635
1937,Muratti Vase,3,5.0,1.0,0.333,0.0,0.667,0.0,0.0,0.0
1937,Nordic Championship,5,3.8,1.8,0.6,0.4,0.0,0.0,0.0,1.0
1938,Baltic Cup,3,2.667,0.667,0.333,0.0,0.667,0.333,0.0,1.0
1938,Bolivarian Games,6,3.5,1.833,0.5,0.5,0.0,0.5,0.0,0.833
1938,British Home Championship,6,3.667,2.333,0.667,0.333,0.0,0.0,0.0,1.0
1938,Central American and Caribbean Games,3,5.333,4.667,1.0,0.0,0.0,1.0,0.0,1.0
1938,Central European International Cup,1,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
1938,FIFA World Cup,17,4.588,1.882,0.529,0.294,0.176,0.882,0.0,0.588
1938,FIFA World Cup qualification,6,4.833,3.167,0.667,0.167,0.167,0.167,0.0,0.667
1938,Friendly,71,4.113,2.056,0.507,0.324,0.169,0.0,0.0,0.634
1938,Muratti Vase,2,5.5,1.5,1.0,0.0,0.0,0.5,0.0,0.0
1938,Nordic Championship,6,4.333,2.333,0.333,0.5,0.167,0.0,0.0,1.0
1939,British Home Championship,2,3.5,1.5,0.5,0.5,0.0,0.0,0.0,1.0
1939,Copa América,10,4.7,2.7,0.5,0.5,0.0,0.6,0.0,0.5
1939,Copa Chevallier Boutell,2,2.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0
1939,Copa Roca,2,5.5,2.5,0.5,0.5,0.0,0.0,0.0,1.0
1939,Friendly,60,4.267,1.833,0.5,0.317,0.183,0.033,0.0,0.75
1939,Muratti Vase,2,2.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0
1939,Nordic Championship,6,5.5,3.167,0.667,0.333,0.0,0.0,0.0,1.0
1940,Baltic Cup,3,2.333,0.333,0.333,0.0,0.667,0.333,0.0,0.667
1940,Copa Chevallier Boutell,2,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
1940,Copa Rio Branco,2,4.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0
1940,Copa Roca,5,5.0,2.6,0.4,0.4,0.2,0.0,0.0,1.0
1940,Friendly,36,4.778,2.167,0.639,0.139,0.222,0.0,0.0,0.806
1941,CCCF Championship,6,6.0,2.333,0.667,0.0,0.333,0.5,0.0,0.5
1941,Copa América,10,3.2,2.8,0.5,0.5,0.0,0.6,0.0,0.7
1941,Friendly,26,4.077,1.769,0.423,0.269,0.308,0.0,0.0,0.769
1942,Copa América,21,3.857,2.429,0.667,0.143,0.19,0.714,0.0,0.857
1942,Copa Lipton,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1942,Copa Newton,1,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
1942,Friendly,30,4.5,2.5,0.433,0.4,0.167,0.033,0.0,0.867
1943,CCCF Championship,12,6.333,3.333,0.583,0.333,0.083,0.5,0.0,0.75
